CaseNumber,Location,Reported Date,Month,Year,Offense Desc,Statute Code,Statute Desc,Counts,Reporting Officer
2024-00047254,0 Block UNIT ST,06/14/2024 09:02:16 AM,6,2024,Bad Checks,11-1-6,CONSPIRACY - BAD CHECK,1,EPedchenko
2024-00047254,0 Block UNIT ST,06/14/2024 09:02:16 AM,6,2024,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,EPedchenko
2024-00047254,0 Block UNIT ST,06/14/2024 09:02:16 AM,6,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,EPedchenko
2024-00068913,0 Block ZONE ST,08/22/2024 07:03:18 AM,8,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,JLugo
2024-00055095,600 Block N MAIN ST,07/07/2024 07:36:05 PM,7,2024,Request for Assistance,Not Used,No violations,0,PHourahan
2024-00058202,600 Block SMITH ST,07/17/2024 04:31:00 PM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,ALara
2024-00054725,700 Block BROAD ST,07/06/2024 05:23:00 PM,7,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,KLudovici
2024-00036900,0 Block HILLARD ST,05/14/2024 01:00:00 PM,5,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,JPerez
2024-00082511,0 Block FOWLER ST,10/03/2024 12:05:09 PM,10,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,KWilliams
2024-00066369,0 Block WEYBOSSET ST,08/13/2024 06:26:00 PM,8,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JAntoniou
2024-00081950,0 Block ASHTON ST,10/01/2024 05:00:00 PM,10,2024,Larceny from Building,11-41-1,LARCENY/U $11000 - FROM BLD,1,Central Station
2024-00060011,0 Block PATERSON ST,07/23/2024 10:01:59 AM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,JLugo
2024-00084119,100 Block JULIAN ST,10/08/2024 10:21:40 AM,10,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,DRosso
2024-00067513,400 Block BENEFIT ST,08/17/2024 05:00:00 PM,8,2024,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,LPelaez
2024-00037322,100 Block CLEVELAND ST,05/15/2024 06:50:13 PM,5,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,JCortorreal
2024-00053574,0 Block WINONA ST,07/03/2024 10:15:00 AM,7,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,GScarcello
2024-00055995,0 Block SALMON ST,07/10/2024 09:08:00 PM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,RHull
2024-00061816,0 Block SACKETT ST,07/29/2024 01:02:54 PM,7,2024,Auto Towed,Not Used,Parking or MV Violation,0,JDeschamps
2024-00064395,800 Block PLAINFIELD ST,08/07/2024 12:40:00 PM,8,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00067869,300 Block BROAD ST,08/18/2024 07:10:00 PM,8,2024,RI Statute Violation,11-59-3,VIOLATION OF RESTRAINING ORDER,1,DMartinez
2024-00067869,300 Block BROAD ST,08/18/2024 07:10:00 PM,8,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,DMartinez
2024-00050749,100 Block LAURA ST,06/24/2024 12:07:00 PM,6,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,VTavarez
2024-00068512,0 Block LEDGE ST,08/20/2024 07:47:00 PM,8,2024,RI Statute Violation,12-29-4,VIOLATION -NO CONTACT ORDER,1,MLabutti
2024-00062603,0 Block WINTHROP AVE,08/01/2024 12:56:58 AM,8,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,HViruet
2024-00062603,0 Block WINTHROP AVE,08/01/2024 12:56:58 AM,8,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,HViruet
2024-00034644,0 Block ROANOKE ST,05/07/2024 09:49:25 AM,5,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,EPedchenko
2024-00050227,300 Block WICKENDEN ST,06/22/2024 09:10:00 PM,6,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,JAntoniou
2024-00064579,400 Block PRAIRIE AVE,08/08/2024 03:01:12 AM,8,2024,Burglary,11-8-4,B&E BUS.PLACE PUBLIC BLDG  OR SHIP W/FEL. INTENT,1,CSalinas
2024-00070763,400 Block PRAIRIE AVE,08/27/2024 11:48:24 PM,8,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,CGordillo Perez
2024-00070763,400 Block PRAIRIE AVE,08/27/2024 11:48:24 PM,8,2024,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,CGordillo Perez
2024-00086443,100 Block BRIGGS ST,10/16/2024 12:15:00 PM,10,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2024-00061113,0 Block PRICE ST,07/27/2024 01:49:22 AM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,HEspanol
2024-00082949,100 Block BOWDOIN ST,10/04/2024 06:36:00 PM,10,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,Central Station
2024-00035339,0 Block DABOLL ST,05/09/2024 01:20:12 PM,5,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,HVentura
2024-00061822,400 Block CRANSTON ST,07/29/2024 01:14:00 PM,7,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,ITorres
2024-00061822,400 Block CRANSTON ST,07/29/2024 01:14:00 PM,7,2024,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,ITorres
2024-00072239,0 Block ALMA ST,09/01/2024 10:37:00 AM,9,2024,"Fraud, Welfare",40-6-16,FRAUDULENT USE OF FOOD STAMPS/O $1000,1,Central Station
2024-00038105,0 Block JOSEPH ST,05/18/2024 12:48:00 PM,5,2024,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,YCaba
2024-00048565,100 Block HAMILTON ST,06/17/2024 07:10:00 PM,6,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00053278,100 Block BATH ST,07/02/2024 03:25:00 PM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,RFernandes
2024-00066358,0 Block GENEVA ST,08/13/2024 06:03:00 PM,8,2024,Suspicious Person,Not Used,No violations,0,Central Station
2024-00033991,0 Block MYRTLE ST,05/05/2024 12:05:08 AM,5,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,HEspanol
2024-00044781,100 Block HANOVER ST,06/06/2024 11:45:40 PM,6,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,BMacedo
2024-00054137,100 Block SHELDON ST,07/04/2024 10:15:56 PM,7,2024,Burglary,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,1,JIkuejamofo
2024-00064998,0 Block HALSEY ST,08/09/2024 03:09:00 PM,8,2024,Assistance Rendered,Not Used,No violations,0,LGianfrancesco
2024-00038186,0 Block POCASSET AVE,05/18/2024 06:01:00 PM,5,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,SNoti
2024-00037904,0 Block MONTROSE ST,05/17/2024 07:19:00 PM,5,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,ALima
2024-00032202,0 Block PAUL ST,04/29/2024 11:22:00 AM,4,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station
2024-00069519,0 Block PRAIRIE AVE,08/24/2024 04:52:00 AM,8,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,SSesay
2024-00069519,0 Block PRAIRIE AVE,08/24/2024 04:52:00 AM,8,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,SSesay
2024-00069519,0 Block PRAIRIE AVE,08/24/2024 04:52:00 AM,8,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,SSesay
2024-00075899,0 Block HAZAEL ST,09/12/2024 03:56:00 PM,9,2024,"Fraud, Welfare",40-6-16,FRAUDULENT USE OF FOOD STAMPS/U $1000,1,Central Station
2024-00075019,200 Block SARATOGA ST,09/09/2024 11:22:05 PM,9,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,VWilcox
2024-00058565,0 Block NASHUA ST,07/18/2024 06:56:00 PM,7,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2024-00077323,200 Block ACADEMY AVE,09/16/2024 06:34:00 PM,9,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,ALima
2024-00044193,0 Block MANTON AVE,06/05/2024 01:33:01 AM,6,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,KBaxter
2024-00074493,500 Block EDDY ST,09/08/2024 10:29:00 AM,9,2024,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,JButen
2024-00064360,0 Block SOCIAL ST,08/07/2024 10:11:00 AM,8,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2024-00043530,0 Block CANDACE ST,06/03/2024 01:35:00 AM,6,2024,Traffic Violation,31-10-27,No License on Person - Exhibited on Demand,1,BAucoin
2024-00043530,0 Block CANDACE ST,06/03/2024 01:35:00 AM,6,2024,Traffic Violation,31-8-2,Operation of MV When Registration Canceled,1,BAucoin
2024-00043530,0 Block CANDACE ST,06/03/2024 01:35:00 AM,6,2024,Traffic Violation,31-8-3,Improper Use of Evidence of Registration or Certificate,1,BAucoin
2024-00049012,400 Block SMITH ST,06/19/2024 01:15:00 AM,6,2024,Burglary,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,1,BAucoin
2024-00032977,100 Block GESLER ST,05/01/2024 07:16:00 PM,5,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,2,NAyala
2024-00058466,0 Block OPPER ST,07/18/2024 11:30:00 AM,7,2024,Weapons,11-47-5,POSS OF ARMS BY CONVICT IN CRIME OF VIOL/FUGITIVE,1,JDesmarais
2024-00058466,0 Block OPPER ST,07/18/2024 11:30:00 AM,7,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,JDesmarais
2024-00058466,0 Block OPPER ST,07/18/2024 11:30:00 AM,7,2024,Weapons,11-47-8-C,POSSESSION OF FA COMMIT CTRL SUB VIOL,1,JDesmarais
2024-00067132,400 Block CRANSTON ST,08/16/2024 12:30:00 PM,8,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,LFernandez
2024-00054362,0 Block GALLATIN ST,07/05/2024 01:16:00 PM,7,2024,"Fraud, Welfare",40-6-16,FRAUDULENT USE OF FOOD STAMPS/O $1000,1,Central Station
2024-00038702,100 Block DONELSON ST,05/20/2024 02:28:00 PM,5,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,ESoloman
2024-00039769,BRANCH AVE &  146,05/23/2024 04:19:00 PM,5,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,3,JPalmer
2024-00039769,BRANCH AVE &  146,05/23/2024 04:19:00 PM,5,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,JPalmer
2024-00086833,GILMORE ST &  LESTER ST,10/17/2024 05:03:00 PM,10,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,SNoti
2024-00033597,PEARL ST &  HAYWARD ST,05/03/2024 06:05:00 PM,5,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,KHeron
2024-00065903,0 Block PLEASANT VALLEY,08/12/2024 05:23:09 AM,8,2024,Tresspassing,11-44-28,TRESPASS UPON PREMISES/PRIVATE REC. FACILITIES,1,BAucoin
2024-00064896,0 Block WESTWOOD MANOR DR,08/09/2024 07:58:00 AM,8,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,MAddai
2024-00064896,0 Block WESTWOOD MANOR DR,08/09/2024 07:58:00 AM,8,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,MAddai
2024-00066899,200 Block N MAIN ST,08/15/2024 01:06:49 PM,8,2024,"Larceny, Other",11-41-1,LARCENY/O $11000 - ALL OTH LARCENY,1,JLugo
2024-00035058,0 Block KENNEDY PL,05/08/2024 02:48:30 PM,5,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,CMain
2024-00074154,0 Block KENNEDY PL,09/07/2024 11:25:11 AM,9,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,DMonteiro
2024-00071311,0 Block KENNEDY PL,08/29/2024 05:49:36 PM,8,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,JManown
2024-00075731,200 Block JASTRAM ST,09/12/2024 05:47:21 AM,9,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,RSavage
2024-00037743,200 Block JASTRAM ST,05/17/2024 10:55:00 AM,5,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00081209,0 Block LAWRENCE ST,09/29/2024 03:26:00 AM,9,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,AO'Loughlin
2024-00501743,0 Block GOVERNOR ST,09/30/2024 02:28:12 PM,9,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $11000 - FROM MV,1,NField
2024-00055954,YALE AVE,07/10/2024 06:33:00 PM,7,2024,Receiving Stolen Property,31-9-2,Possession of Stolen Vehicle or Parts,1,ALima
2024-00055954,YALE AVE,07/10/2024 06:33:00 PM,7,2024,"Fraud, Swindle",11-41-4,OBT/ MONEY-FALSE PRETENSE/PERSONATION/0 $11000 - FALSE PRETENSE,1,ALima
2024-00071666,GLENBRIDGE AVE &  BUTTON HOLE DR,08/30/2024 08:26:00 PM,8,2024,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,KBarth
2024-00086482,300 Block MONTGOMERY AVE,10/16/2024 02:19:28 PM,10,2024,Request for Assistance,Not Used,No violations,0,MChasse
2024-00068030,0 Block HUXLEY AVE,08/19/2024 11:25:30 AM,8,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JLanier
2024-00057091,CAMBRIDGE ST &  ACADEMY AVE,07/14/2024 12:29:00 AM,7,2024,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,RByfield
2024-00057091,CAMBRIDGE ST &  ACADEMY AVE,07/14/2024 12:29:00 AM,7,2024,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,RByfield
2024-00057091,CAMBRIDGE ST &  ACADEMY AVE,07/14/2024 12:29:00 AM,7,2024,Traffic Violation,31-47-9,Operating a MV without Evidence of Insurance,1,RByfield
2024-00057091,CAMBRIDGE ST &  ACADEMY AVE,07/14/2024 12:29:00 AM,7,2024,Traffic Violation,31-8-3,Improper Use of Evidence of Registration or Certificate,1,RByfield
2024-00057091,CAMBRIDGE ST &  ACADEMY AVE,07/14/2024 12:29:00 AM,7,2024,Traffic Violation,31-13-4,Obedience to Traffic Control Devices,1,RByfield
2024-00073987,GENERAL ST &  HAZAEL ST,09/06/2024 10:13:00 PM,9,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,RMalloy
2024-00035879,0 Block KENNEDY PLZ,05/11/2024 01:10:00 AM,5,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,KLudovici
2024-00035879,0 Block KENNEDY PLZ,05/11/2024 01:10:00 AM,5,2024,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,KLudovici
2024-00035879,0 Block KENNEDY PLZ,05/11/2024 01:10:00 AM,5,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,KLudovici
2024-00050426,0 Block BENEVOLENT ST,06/23/2024 11:26:00 AM,6,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,Central Station
2024-00072931,BLACKSTONE ST &  ALLENS AVE,09/03/2024 04:15:00 PM,9,2024,Warrant/Capias,Not Used,No violations,0,CCorreia
2024-00072931,BLACKSTONE ST &  ALLENS AVE,09/03/2024 04:15:00 PM,9,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,6,CCorreia
2024-00085489,0 Block PELHAM ST,10/12/2024 10:07:00 PM,10,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,AMendez
2024-00085489,0 Block PELHAM ST,10/12/2024 10:07:00 PM,10,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,AMendez
2024-00079769,0 Block PEMBERTON ST,09/24/2024 04:26:00 PM,9,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,SCerullo
2024-00079769,0 Block PEMBERTON ST,09/24/2024 04:26:00 PM,9,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,SCerullo
2024-00066541,0 Block CATHEDRAL SQ,08/14/2024 09:48:00 AM,8,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,GSlater
2024-00048071,WESTMINSTER ST &  ABORN ST,06/16/2024 08:30:00 AM,6,2024,Municipal Code Violation,Sec. 23-95.,Parking or MV Violation,1,Central Station
2024-00042777,NEWCOMB ST &  COGGESHALL ST,06/01/2024 02:11:00 AM,6,2024,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,1,RFernandes
2024-00042777,NEWCOMB ST &  COGGESHALL ST,06/01/2024 02:11:00 AM,6,2024,Weapons,11-47.1-3,Large capacity feeding devices prohibited,1,RFernandes
2024-00068041,100 Block EXCHANGE ST,08/19/2024 11:56:31 AM,8,2024,"Larceny, Other",11-41-1,LARCENY/O $11000 - ALL OTH LARCENY,1,LGarcia Colon
2024-00031363,0 Block BARROWS ST,04/26/2024 05:01:00 PM,4,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station
2024-00078047,0 Block GRANT ST,09/19/2024 04:21:11 AM,9,2024,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,JGuiot
2024-00082882,HAWTHORNE ST,10/04/2024 03:02:00 PM,10,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00037851,100 Block RUGBY ST,05/17/2024 04:38:20 PM,5,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,SBouyssou
2024-00048567,100 Block CHAD BROWN ST,06/17/2024 07:16:00 PM,6,2024,"Assault, Simple",11-5-5,ASSAULT OF POLICE OFFICERS AND OTHER OFFICIALS - MINOR INJURY,1,MRoman
2024-00048567,100 Block CHAD BROWN ST,06/17/2024 07:16:00 PM,6,2024,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,MRoman
2024-00048567,100 Block CHAD BROWN ST,06/17/2024 07:16:00 PM,6,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,MRoman
2024-00048567,100 Block CHAD BROWN ST,06/17/2024 07:16:00 PM,6,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,MRoman
2024-00078828,100 Block STAMFORD AVE,09/21/2024 01:59:00 PM,9,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,HVentura
2024-00068160,N MAIN ST &  MATILDA ST,08/19/2024 07:09:00 PM,8,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2,MCarlone
2024-00062426,0 Block KENNEDY PLZ,07/31/2024 01:52:00 PM,7,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2024-00057527,0 Block KENNEDY PLZ,07/15/2024 12:27:00 PM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station
2024-00050702,0 Block KENNEDY PLZ,06/24/2024 09:14:00 AM,6,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station
2024-00049760,0 Block KENNEDY PLZ,06/21/2024 09:21:00 AM,6,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,Central Station
2024-00501081,100 Block FRIENDSHIP ST,06/30/2024 11:52:04 PM,6,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $11000 - FROM MV,1,NField
2024-00065341,200 Block BROAD ST,08/10/2024 06:54:00 PM,8,2024,Municipal Code Violation,Sec. 23-32.,"Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",1,MPetteruto
2024-00075572,200 Block WILLIAMS ST,09/11/2024 05:17:00 PM,9,2024,Auto Towed,Not Used,Parking or MV Violation,0,LPelaez
2024-00082168,800 Block HOPE ST,10/02/2024 10:56:00 AM,10,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2024-00053155,200 Block WASHINGTON ST,07/02/2024 09:06:00 AM,7,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,AChin
2024-00045518,JOB ST &  LEDGE ST,06/09/2024 12:32:00 AM,6,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,LPrete
2024-00072584,1300 Block WESTMINSTER ST,09/02/2024 12:26:34 PM,9,2024,Request for Assistance,Not Used,No violations,0,MRudolph
2024-00046384,500 Block WICKENDEN ST,06/11/2024 05:39:00 PM,6,2024,Motor Vehicle Theft,11-41-1,LARCENY/U $11000 - AUTO THEFT,1,LPelaez
2024-00075898,WESTMINSTER ST &  TOBEY ST,09/12/2024 03:55:00 PM,9,2024,Traffic Violation,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",1,AGarcia
2024-00064049,5TH ST & N MAIN ST,08/06/2024 01:01:00 AM,8,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,RAbenante
2024-00064049,5TH ST & N MAIN ST,08/06/2024 01:01:00 AM,8,2024,Weapons,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,1,RAbenante
2024-00064049,5TH ST & N MAIN ST,08/06/2024 01:01:00 AM,8,2024,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,RAbenante
2024-00041899,PLEASANT VALLEY PKY &  TIFFANY ST,05/29/2024 03:22:00 PM,5,2024,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,LSan Lucas
2024-00046277,500 Block CRANSTON ST,06/11/2024 11:21:00 AM,6,2024,Bad Checks,19-9-24,FRAUDULENT CHECKS- (UNDER $1000),1,LFernandez
2024-00082211,200 Block FEDERAL ST,10/02/2024 12:56:00 PM,10,2024,Assistance Rendered,Not Used,No violations,0,ARosales
2024-00035153,0 Block BEAUFORT ST,05/08/2024 07:49:27 PM,5,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,ELane
2024-00040801,CHARLESFIELD ST &  BENEFIT ST,05/26/2024 12:38:00 PM,5,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,MCifuentes
2024-00042403,0 Block SPRAGUE ST,05/31/2024 03:31:12 AM,5,2024,Traffic Violation,31-21-4,Parking or MV Violation,1,JGuiot
2024-00037813,200 Block BOWEN ST,05/17/2024 02:19:00 PM,5,2024,Fraud,Not Used,No violations,0,LPelaez
2024-00049997,SPRUCE ST &  ACORN ST,06/22/2024 01:32:55 AM,6,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,THoulihan
2024-00063223,SPRUCE ST &  ACORN ST,08/03/2024 02:25:24 AM,8,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,SSesay
2024-00063223,SPRUCE ST &  ACORN ST,08/03/2024 02:25:24 AM,8,2024,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,SSesay
2024-00061817,300 Block EDDY ST,07/29/2024 01:03:00 PM,7,2024,"Larceny, Other",11-41-1,LARCENY/O $11000 - ALL OTH LARCENY,1,Central Station
2024-00041178,300 Block EDDY ST,05/27/2024 09:21:00 AM,5,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station
2024-00045665,300 Block NEW YORK AVE,06/09/2024 12:47:57 PM,6,2024,Disturbance,Not Used,No violations,0,MChasse
2024-00066944,0 Block RODMAN ST,08/15/2024 04:36:10 PM,8,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,MCamardo
2024-00039483,0 Block HILARITY ST,05/22/2024 07:15:00 PM,5,2024,"Assault, Aggravated",11-5-2.1,FELONY ASSAULT/USE DEVICE SIMILAR TO FIREARM,1,MPetteruto
2024-00062925,BROAD ST &  BAKER ST,08/02/2024 08:37:00 AM,8,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00072812,BROAD ST &  BAKER ST,09/03/2024 09:31:00 AM,9,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00075377,DEAN ST &  KENYON ST,09/11/2024 12:54:29 AM,9,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,JGagnon
2024-00075377,DEAN ST &  KENYON ST,09/11/2024 12:54:29 AM,9,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,JGagnon
2024-00033869,0 Block LIEGE ST,05/04/2024 04:29:00 PM,5,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,LPrete
2024-00084546,100 Block BOWDOIN ST,10/09/2024 08:11:35 PM,10,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,VWilcox
2024-00084546,100 Block BOWDOIN ST,10/09/2024 08:11:35 PM,10,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,VWilcox
2024-00047173,0 Block PEKIN ST,06/14/2024 12:02:00 AM,6,2024,Shots Fired,Not Used,No violations,0,BAucoin
2024-00057463,400 Block SHARON ST,07/15/2024 07:04:00 AM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,GScarcello
2024-00049410,0 Block GENEVA ST,06/20/2024 09:39:00 AM,6,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,GScarcello
2024-00049403,0 Block LANCASHIRE ST,06/20/2024 09:20:00 AM,6,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,CHines
